Team,SRS,SOS,Pace,OFF,FTR,EFG,TOV,ORB,DEF,Opp FTR,Opp EFG,Opp TOV,Opp ORB
Texas State,0.39,-2.61,65.6,107.0,.318,.520,16.3,31.6,96.1,.339,.486,19.6,28.4
Texas Tech,19.99,8.60,67.5,105.1,.361,.524,17.6,33.3,88.4,.321,.455,20.8,26.1
Texas,17.24,8.53,64.3,105.6,.323,.500,15.7,31.8,92.1,.368,.466,20.2,29.8
Toledo,6.47,-3.02,70.3,113.7,.280,.535,12.6,30.3,97.7,.227,.468,13.6,26.8
Towson,6.28,-2.34,66.2,109.7,.339,.516,15.2,35.2,96.7,.319,.479,17.1,26.2
Troy,-3.11,-3.51,69.0,99.5,.329,.490,18.7,31.9,93.6,.323,.473,18.9,26.6
Tulane,6.80,5.39,69.3,104.1,.334,.512,13.7,19.9,102.1,.285,.496,17.3,32.7
Tulsa,1.77,4.29,67.3,100.1,.310,.496,16.8,26.7,103.8,.290,.522,17.5,30.1
UCLA,20.35,8.79,67.1,111.6,.298,.506,11.4,32.0,94.7,.292,.477,17.6,24.8
Utah State,10.88,5.00,67.3,107.5,.287,.545,16.2,26.3,97.9,.286,.495,16.3,22.5
Utah Valley,2.71,-1.26,68.2,102.5,.382,.512,19.2,32.8,93.7,.274,.447,14.1,24.9
Utah,5.92,7.08,67.2,102.9,.300,.484,15.6,29.3,104.6,.286,.494,13.2,29.2
Valparaiso,-1.21,1.22,67.4,101.8,.262,.523,14.7,16.9,101.5,.222,.520,15.0,20.1
Vanderbilt,11.35,8.23,69.2,101.9,.392,.503,16.9,27.5,97.4,.346,.482,18.3,28.3
Vermont,7.75,-6.32,65.1,114.6,.264,.572,13.4,24.6,92.2,.221,.475,15.7,18.5
Villanova,19.44,9.90,64.2,112.7,.305,.520,13.4,30.9,97.9,.251,.475,16.3,28.0
Virginia Commonwealth,9.98,4.98,68.4,97.4,.303,.515,19.5,26.6,90.1,.373,.443,21.2,32.2
VMI,-1.86,-1.97,69.0,113.3,.244,.566,14.6,24.3,105.5,.241,.492,12.8,28.5
Virginia Tech,14.20,5.74,63.5,111.1,.237,.552,14.9,28.1,97.8,.252,.487,16.7,26.1
Virginia,8.51,6.12,60.2,103.8,.283,.497,14.3,28.0,99.8,.235,.490,16.0,28.8
Wagner,-1.02,-8.90,68.3,107.0,.323,.506,15.4,33.9,93.0,.394,.476,19.7,26.7
Wake Forest,13.38,4.11,71.0,110.0,.327,.562,16.9,27.1,97.1,.285,.473,15.3,26.1
Washington State,12.76,6.03,67.4,105.9,.296,.483,14.1,33.2,95.9,.309,.470,18.1,29.6
Washington,5.59,7.27,70.4,99.1,.347,.464,14.5,29.3,101.5,.302,.499,18.8,35.5
Weber State,-1.39,-4.87,71.1,106.8,.377,.539,15.0,20.7,98.5,.254,.512,18.3,24.3
West Virginia,10.28,10.79,68.5,100.0,.361,.468,15.7,29.9,100.7,.341,.506,19.4,33.6
Western Carolina,-10.36,-1.78,69.3,100.8,.278,.483,15.2,29.4,110.2,.293,.525,12.7,27.7
Western Illinois,-5.21,-5.24,72.4,106.9,.303,.507,13.6,29.2,104.7,.307,.523,15.3,21.6
Western Kentucky,3.44,0.38,71.0,106.3,.302,.533,15.3,24.6,97.5,.158,.493,17.5,29.4
Western Michigan,-13.26,-2.05,66.5,97.1,.251,.496,17.9,26.6,111.5,.303,.526,13.1,31.1
Wichita State,8.29,6.18,67.8,99.6,.317,.467,16.1,32.3,96.6,.303,.473,17.4,28.3
William &amp; Mary,-14.13,-2.10,69.9,90.3,.300,.462,20.2,26.9,105.2,.269,.530,15.9,26.5
Winthrop,-1.55,-3.62,69.3,107.3,.369,.565,18.7,26.7,100.1,.327,.502,17.1,25.8
Wisconsin,13.86,9.69,67.1,105.3,.323,.482,11.2,25.9,99.1,.276,.494,15.0,24.1
Wofford,2.15,-1.42,65.6,110.2,.287,.551,15.7,28.3,100.6,.285,.531,18.3,21.5
Wright State,-1.95,-5.72,69.8,108.8,.319,.519,15.4,31.4,102.2,.258,.506,16.1,29.3
Wyoming,9.88,4.12,66.3,107.8,.359,.531,15.0,25.5,97.3,.241,.472,14.1,24.2
Xavier,12.94,8.25,69.2,105.2,.357,.502,14.4,29.3,98.5,.255,.484,16.1,26.1
Yale,0.06,-1.98,70.3,102.5,.326,.504,16.1,25.7,97.5,.309,.486,16.5,26.1
Youngstown State,-6.24,-7.40,67.5,107.3,.304,.513,14.9,30.9,102.6,.280,.499,15.3,27.8
